candidate;party;votes;percent;year;city;runoff;support;job;year_birth;born_city;;incumbent;male;mig_background;population;pop_density;area_industry_pc;area_agricul_pc;area_forest_pc;male;female;unter 15;15-18;18-25;25-40;40-65;65 u.mehr;workers_agricul;workers_manu;workers_service;unemployed;health_care_receivers;asylum_claims;kom_wahl_cdu;kom_wahl_spd;kom_wahl_grüne;kom_wahl_fdp;kom_wahl_afd;kom_wahl_linke;btw_erststimme_pc;disp_income;investment_p_worker;numb_new_flat_allowed;new_flat_sqm_allowed;visits_total;visits_foreigner;feinstaub;rile;lastname_background_density;umfrage
Dr. Walter Weiblen;PBC;2194;1,30;2004;Stuttgart;1;PBC;Unternehmensberater;1955;0;Neuenstein;0;1;0;590.657;2.849;7,5;24;23,5;290.910;299.747;75.505;15.422;47.969;149.869;196.603;105.289;1.1;101.1;371.9;21.649;10.407;1.278;32,9;22,8;18,7;6,5;0;0;0,2;14.950;14.074;1.607;147.710;2.245.059;633.272;275,9;0;Germany;
Fritz Kuhn;GRÜNE;102753;52,90;2012;Stuttgart;1;GRÜNE, SPD;MdB;1955;0;Bad Mergentheim;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;-20;Switzerland;
Sebastian Turner;CDU;87973;45,30;2012;Stuttgart;1;CDU, FDP, FW;Medienunternehmer;1966;0;Clausthal;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;3;UK;
Jens Loewe;;1371;0,70;2012;Stuttgart;1;;Künstler;1958 ;0;Bochum;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Germany;
Ulrich Weiler;;499;0,30;2012;Stuttgart;1;;Mathematiker;1955;0;.;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Luxembourg;
Dr. Ralph Schertlen;;414;0,20;2012;Stuttgart;1;;Elektroingenieur ;1969;0;.;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Germany;
Selma Kruppschke;;401;0,20;2012;Stuttgart;1;;Travestiekünstler ;1964;0;Esslingen;0;0;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Germany;
Wolfgang Schmid;;352;0,20;2012;Stuttgart;1;;;;;;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Switzerland;
Stephan Ossenkopp;BüSo;272;0,10;2012;Stuttgart;1;BüSo;Journalist;1972;0;.;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Germany;
Heinz Fenrich ;CDU;45.902;45,90;1998;Karlsruhe;1;CDU;OB;1945;0;Unteröwisheim;1;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;33,3;5.533;7.436;912;85.860;557.318;128.707;176,5;25;Canada;
Heinke Salisch ;SPD;30.150;30,20;1998;Karlsruhe;1;SPD, GRÜNE;Bürgermeisterin;1941;0;Grevenbroich;0;0;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;38,9;5.533;7.436;912;85.860;557.318;128.707;176,5;-2;Germany;
Ullrich Eidenmüller ;FDP;23.124;23,10;1998;Karlsruhe;1;FDP;Bürgermeister;1949;0;Erbach;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;10,3;5.533;7.436;912;85.860;557.318;128.707;176,5;15;Germany;
Florian Burlafinger;;256;0,30;1998;Karlsruhe;1;;Assessor ;;1;Karlsruhe;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;0;5.533;7.436;912;85.860;557.318;128.707;176,5;0;Germany;
Peter Alexander Kolb;;202;0,20;1998;Karlsruhe;1;;.;;;.;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;0;5.533;7.436;912;85.860;557.318;128.707;176,5;0;Germany;
Günther Matt;;244;0,20;1998;Karlsruhe;1;;.;;;.;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;0;5.533;7.436;912;85.860;557.318;128.707;176,5;0;Liechtenstein;
Marian Schreier;;;;2020;Stuttgart;0;;Bürgermeister;1990;1;Stuttgart;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;0;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;0;Germany;0,18
Frank Nopper;CDU;;;2020;Stuttgart;0;CDU;Oberbürgermeister;1961;1;Stuttgart;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;32,7;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;3;Germany;0,24
Dr. Malte Kaufmann;AfD;;;2020;Stuttgart;0;AfD;Unternehmer;1977;0;Mannheim;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;8,4;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;17;Switzerland;0,04
